2016-12-02 19:29:19,707 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 処理を開始します [main] (ReportWordCount.java:35)
2016-12-02 19:29:19,841 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2000 [main] (ReportWordCount.java:49)
2016-12-02 19:29:19,915 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2001 [main] (ReportWordCount.java:49)
2016-12-02 19:29:19,944 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,005 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,065 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,095 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,132 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,170 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,204 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,248 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,284 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,341 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:20,378 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=1973,year=2012 [main] (ReportWordCount.java:49)
